Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
IL1_landbasedwind_class3_moderate_1,2,1,1,0.0,IL1,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,178208,1150.4,1.265,3178.5,33.45,10691.943,175544.992,3.018,167517.0,0.4716841578483581,Wind,0.05,Wind
IL1_utilitypv_class1_moderate_0,2,1,1,0.0,IL1,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,88740,52603.5,1.069,9305.702,31.094,8461.542,138925.291,5.316,80279.0,0.2264362871646881,Solar,0.0,Solar
IL1_utilitypv_class1_moderate_1,2,1,1,0.0,IL1,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,92818,52491.2,1.069,7842.263,32.559,12539.507,205879.107,4.176,80279.0,0.2361031025648117,Solar,0.0,Solar
IL1_offshorewind_class3_conservative_fixed_1_1,2,1,1,0.0,IL1,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,91512,0.0,0.0,0.0,0.0,1,Conservative,Class3,2033.0,4348288.675,541530,25024.0,1.324,0.0,90.412,73632.822,1188080.087,0.0,467898.0,0.4878839254379272,Wind,0.05,Wind
IL1_offshorewind_class3_conservative_fixed_0_1,2,1,1,0.0,IL1,OffShoreWind_Class3_Conservative_fixed_0,1,1.0,0.0,0.0,91512,0.0,0.0,0.0,0.0,1,Conservative,Class3,2033.0,4348288.675,541530,25024.0,1.324,0.0,90.412,73632.822,1188080.087,0.0,467898.0,0.4878839254379272,Wind,0.05,Wind
ISONE_landbasedwind_class3_moderate_0,3,1,1,0.0,ISONE,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,213424,31649.5,1.266,33715.75,38.895,45706.111,750426.784,0.675,167718.0,0.503917396068573,Wind,0.05,Wind
ISONE_landbasedwind_class3_moderate_1,3,1,1,0.0,ISONE,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,228703,31614.8,1.266,35203.0,50.141,60985.838,1001297.3,0.707,167718.0,0.4238493144512176,Wind,0.05,Wind
ISONE_utilitypv_class1_moderate_0,3,1,1,0.0,ISONE,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,96467,244432.0,1.017,47321.301,35.884,20081.8,329711.828,6.019,76386.0,0.2431525737047195,Solar,0.0,Solar
ISONE_utilitypv_class1_moderate_1,3,1,1,0.0,ISONE,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,115750,244259.1,1.017,33041.141,43.126,39364.534,646304.921,2.223,76386.0,0.2408180385828018,Solar,0.0,Solar
ISONE_offshorewind_class3_conservative_fixed_1_1,3,1,1,0.0,ISONE,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,91512,0.0,0.0,0.0,0.0,1,Conservative,Class3,2033.0,4348288.675,447834,25020.3,1.0,0.0,74.287,94413.809,1524866.929,0.0,353421.0,0.5514326095581055,Wind,0.05,Wind
