Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
DE1_offshorewind_class3_conservative_fixed_0_1,1,1,1,0.0,DE1,OffShoreWind_Class3_Conservative_fixed_0,1,1.0,0.0,0.0,88699,0.0,0.0,0.0,0.0,1,Conservative,Class3,2040.5,3299928.262,346687.0,9500.9,1.0,0.0,80.625,78476.115,1271810.541,0.0,268211.0,0.500217080116272,Wind,0.05,Wind
IL1_landbasedwind_class3_moderate_0,2,1,1,0.0,IL1,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,140965.0,1169.7,1.265,2729.25,29.36,12152.116,199518.752,2.4,128813.0,0.4653814733028412,Wind,0.05,Wind
IL1_landbasedwind_class3_moderate_1,2,1,1,0.0,IL1,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,139504.0,1150.4,1.265,3178.5,33.45,10691.943,175544.992,3.018,128813.0,0.4716841578483581,Wind,0.05,Wind
IL1_utilitypv_class1_moderate_0,2,1,1,0.0,IL1,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,54762.0,52603.5,1.069,9305.702,31.094,8461.542,138925.291,5.316,64555.0,0.2264362871646881,Solar,0.0,Solar
IL1_utilitypv_class1_moderate_1,2,1,1,0.0,IL1,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,57820.5,52491.2,1.069,7842.263,32.559,12539.507,205879.107,4.176,64555.0,0.2361031025648117,Solar,0.0,Solar
IL1_offshorewind_class3_conservative_fixed_1_1,2,1,1,0.0,IL1,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,88699,0.0,0.0,0.0,0.0,1,Conservative,Class3,2040.5,3299928.262,428718.0,25024.0,1.324,0.0,90.412,73632.822,1188080.087,0.0,355086.0,0.4878839254379272,Wind,0.05,Wind
IL1_offshorewind_class3_conservative_fixed_0_1,2,1,1,0.0,IL1,OffShoreWind_Class3_Conservative_fixed_0,1,1.0,0.0,0.0,88699,0.0,0.0,0.0,0.0,1,Conservative,Class3,2040.5,3299928.262,428718.0,25024.0,1.324,0.0,90.412,73632.822,1188080.087,0.0,355086.0,0.4878839254379272,Wind,0.05,Wind
ISONE_landbasedwind_class3_moderate_0,3,1,1,0.0,ISONE,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,174673.0,31649.5,1.266,33715.75,38.895,45706.111,750426.784,0.675,128967.0,0.503917396068573,Wind,0.05,Wind
ISONE_landbasedwind_class3_moderate_1,3,1,1,0.0,ISONE,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,189952.0,31614.8,1.266,35203.0,50.141,60985.838,1001297.3,0.707,128967.0,0.4238493144512176,Wind,0.05,Wind
ISONE_utilitypv_class1_moderate_0,3,1,1,0.0,ISONE,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,61129.5,244432.0,1.017,47321.301,35.884,20081.8,329711.828,6.019,61425.0,0.2431525737047195,Solar,0.0,Solar
ISONE_utilitypv_class1_moderate_1,3,1,1,0.0,ISONE,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,75591.75,244259.1,1.017,33041.141,43.126,39364.534,646304.921,2.223,61425.0,0.2408180385828018,Solar,0.0,Solar
ISONE_offshorewind_class3_conservative_fixed_1_1,3,1,1,0.0,ISONE,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,88699,0.0,0.0,0.0,0.0,1,Conservative,Class3,2040.5,3299928.262,362624.0,25020.3,1.0,0.0,74.287,94413.809,1524866.929,0.0,268211.0,0.5514326095581055,Wind,0.05,Wind
