Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
,,,,,,,,45,1941.3,15998.4,23446.8,7986.6,795.6,1129.5,11379.6,17089.2,55101.6,13167.0,21828.600000000002,3646.8,7637.400000000001,9294.300000000001,2058.3,3456.9,4758.3,531.0,320.40000000000003,15537.6,109425.6,3391.2000000000003,17557.2,520.2,112.5,2772.9,1933.2
,,,,,,,,46,1732.5,15075.9,21750.3,7450.2,741.6,1019.7,10255.5,15966.9,52077.6,11843.1,20132.100000000002,3363.3,7040.7,8568.0,1897.2,3186.9,4338.900000000001,483.3,291.6,14169.6,104428.8,3039.3,15733.800000000001,465.3,99.9,2550.6,1778.4
,,,,,,,,47,1573.2,14095.800000000001,19699.2,6880.5,685.8000000000001,927.9,9311.4,14949.9,48729.6,10847.7,18277.2,3053.7000000000003,6472.8,7877.7,1745.1000000000001,2929.5,4001.4,446.40000000000003,269.1,13068.0,95737.5,2758.5,14281.2,423.0,90.9,2359.8,1645.2
,,,,,,,,48,1415.7,13289.4,17453.7,6348.6,632.7,843.3000000000001,8462.7,13868.1,45554.4,9867.6,16593.3,2772.0,6021.0,7328.7,1622.7,2725.2000000000003,3722.4,414.90000000000003,250.20000000000002,12157.2,85586.40000000001,2511.0,13001.4,384.3,82.8,2218.5,1546.2
,,,,,,,,49,1264.5,12456.0,15747.300000000001,6026.400000000001,600.3000000000001,760.5,7653.6,12752.1,42435.0,9060.300000000001,15308.1,2557.8,5589.900000000001,6804.900000000001,1506.6000000000001,2529.9,3513.6,391.5,236.70000000000002,11475.0,77030.1,2294.1,11872.800000000001,351.0,75.60000000000001,2088.9,1456.2
,,,,,,,,50,1175.4,11925.0,14508.0,5688.0,567.0,708.3000000000001,7146.900000000001,11908.800000000001,39768.3,8529.300000000001,14295.6,2388.6,5326.2,6485.400000000001,1435.5,2411.1,3366.0,375.3,226.8,10989.9,70275.6,2146.5,11111.4,328.5,71.10000000000001,2016.9,1406.7
,,,,,,,,51,1126.8,11406.6,13734.9,5475.6,545.4,683.1,6902.1,11421.9,37908.9,8243.1,13628.7,2277.0,5206.5,6340.5,1403.1000000000001,2357.1,3329.1,370.8,224.1,10871.1,65964.6,2079.0,10761.300000000001,318.6,68.4,1998.0,1394.1000000000001
,,,,,,,,52,1153.8,11294.1,13255.2,5447.7,543.6,703.8000000000001,7140.6,11262.6,37201.5,8493.300000000001,13419.0,2241.9,5328.0,6490.8,1435.5,2412.0,3472.2000000000003,387.90000000000003,234.0,11338.2,62880.3,2123.1,10995.300000000001,325.8,70.2,2070.9,1443.6000000000001
,,,,,,,,53,1233.9,11599.2,13455.9,5625.0,561.6,754.2,7681.5,11601.9,37624.5,9072.9,13882.5,2319.3,5755.5,7011.900000000001,1550.7,2604.6,3802.5,424.8,256.5,12416.4,61905.6,2294.1,11878.2,351.0,75.60000000000001,2265.3,1579.5
,,,,,,,,54,1354.5,12267.0,14804.1,6008.400000000001,599.4,799.2,8154.900000000001,12791.7,39465.0,10152.0,15611.4,2608.2000000000003,6216.3,7571.7,1674.9,2814.3,4116.6,459.90000000000003,277.2,13443.300000000001,64566.9,2436.3,12616.2,373.5,80.10000000000001,2403.0,1675.8
,,,,,,,,55,1480.5,12856.5,16810.2,6411.6,639.0,849.6,8667.0,14006.7,41900.4,10864.800000000001,17402.4,2907.0,6584.400000000001,8016.3,1773.9,2979.9,4276.8,477.0,288.0,13968.0,71912.7,2599.2000000000003,13455.0,398.7,86.4,2481.3,1729.8
,,,,,,,,56,1640.7,13876.2,19228.5,6890.400000000001,686.7,935.1,9507.6,15696.9,45644.4,11752.2,19089.9,3189.6,7187.400000000001,8747.1,1936.8,3252.6,4524.3,504.90000000000003,305.1,14776.2,81047.7,2891.7000000000003,14967.9,442.8,95.4,2625.3,1830.6000000000001
,,,,,,,,57,1812.6000000000001,14834.7,21324.600000000002,7385.400000000001,735.3000000000001,1026.9,10389.6,17330.4,49084.200000000004,12684.6,20773.8,3471.3,7815.6,9509.4,2106.9,3537.9,4834.8,540.0,324.90000000000003,15788.7,90711.0,3209.4,16618.5,492.3,106.2,2797.2000000000003,1949.4
,,,,,,,,58,1834.2,15786.0,21644.100000000002,7641.0,761.4,1038.6000000000001,10510.2,17718.3,51737.4,12690.0,20918.7,3494.7000000000003,7888.5,9598.5,2125.8,3570.3,4887.0,545.4,329.40000000000003,15957.9,95068.8,3306.6,17122.5,507.6,108.9,2831.4,1973.7
,,,,,,,,59,1778.4,15916.5,20918.7,7599.6,756.9,1014.3000000000001,10295.1,17204.4,51754.5,12271.5,20343.600000000002,3399.3,7708.5,9380.7,2077.2000000000003,3488.4,4782.6,533.7,322.2,15619.5,95651.1,3300.3,17086.5,505.8,108.9,2783.7000000000003,1941.3
,,,,,,,,60,1737.9,15602.4,20138.4,7613.1,758.7,993.6,10125.0,16635.600000000002,50877.0,11976.300000000001,19781.100000000002,3304.8,7545.6,9182.7,2034.0,3414.6,4692.6,522.9,316.8,15326.1,96424.2,3317.4,17175.600000000002,508.5,109.8,2748.6,1916.1000000000001
,,,,,,,,61,1735.2,15351.300000000001,19968.3,7650.0,761.4,995.4,10146.6,16199.1,50023.8,11925.9,19687.5,3289.5,7520.400000000001,9153.9,2026.8,3403.8,4688.1,522.9,315.90000000000003,15307.2,98305.2,3367.8,17433.0,515.7,111.60000000000001,2752.2000000000003,1917.9
,,,,,,,,62,1746.9,15222.6,20083.5,7729.2,770.4,1001.7,10205.1,16024.5,49899.6,12004.2,19729.8,3296.7000000000003,7520.400000000001,9153.0,2026.8,3402.9,4686.3,522.9,315.90000000000003,15303.6,101130.3,3430.8,17759.7,525.6,113.4,2751.3,1917.9
,,,,,,,,63,1719.9,15224.4,19919.7,7778.7,774.9,1006.2,10241.1,15719.4,49712.4,11858.4,19725.3,3295.8,7488.900000000001,9115.2,2018.7,3390.3,4678.2,522.0,315.0,15276.6,103174.2,3465.9,17946.0,531.9,114.3,2754.9,1920.6000000000001
